,index,word,count
0,1,the,5056476
1,2,of,2381440
2,8,to,2244168
3,4,and,1845908
4,11,in,1569488
5,12,that,1232402
6,62,is,1118256
7,10,a,1102412
8,71,we,772208
9,30,for,751394
10,0,I,729040
11,19,this,716740
12,3,on,680880
13,41,it,636864
14,31,be,616396
15,89,are,495076
16,14,as,478856
17,16,have,478072
18,65,not,463390
19,58,which,439140
20,69,with,432126
21,79,by,356614
22,15,will,344146
23,52,has,316766
24,42,at,243944
25,5,would,228594
26,50,an,225156
27,104,but,219724
28,25,all,219412
29,24,should,216400
30,118,also,212524
31,98,our,204090
32,32,from,201254
33,174,must,196872
34,33,there,187066
35,34,been,184360
36,9,you,172188
37,49,can,160754
38,37,was,153096
39,115,or,148010
40,94,more,146842
41,126,its,144338
42,120,they,143920
43,99,these,143786
44,46,do,142398
45,64,what,141530
46,51,if,138908
47,84,so,131682
48,35,one,131650
49,60,their,131566
50,36,very,127758
51,106,no,123706
52,55,my,113450
53,44,other,109162
54,54,about,106624
55,87,us,105410
56,147,only,102856
57,38,who,100858
58,95,because,94924
59,78,now,93220
60,57,up,93192
61,101,out,86600
62,153,such,85622
63,26,those,83562
64,119,am,83560
65,66,when,83140
66,108,therefore,81994
67,81,make,80800
68,137,some,79040
69,169,take,78930
70,103,into,78058
71,124,any,76862
72,139,between,75614
73,77,however,75356
74,132,being,74048
75,90,made,71206
76,70,first,70986
77,121,them,70158
78,18,were,69942
79,170,than,67886
80,186,say,66384
81,75,many,65328
82,40,just,59528
83,128,against,58772
84,163,even,57756
85,112,does,56960
86,88,here,56592
87,105,two,56260
88,39,had,54720
89,110,well,54214
90,155,cannot,53674
91,135,could,53026
92,136,how,52474
93,23,part,52060
94,146,same,51314
95,91,too,49904
96,152,within,49418
97,74,already,49184
98,178,where,49060
99,102,most,49010
100,111,me,49008
101,67,may,48394
102,96,much,48146
103,92,he,47564
104,17,still,46874
105,156,both,46534
106,29,then,46036
107,43,his,45818
108,123,over,45516
109,187,under,45360
110,100,why,44522
111,53,your,43682
112,168,see,42544
113,167,own,42414
114,97,last,41866
115,142,put,40508
116,173,without,40424
117,59,before,39702
118,113,since,38286
